,1385_at,31622_f_at,32821_at,33328_at,33919_at,34375_at,34407_at,35766_at,36130_f_at,37032_at,37157_at,38637_at,38722_at,39081_at,39182_at,39409_at,39594_f_at,39640_at,40087_at,40103_at,40445_at,40567_at,40767_at,40848_g_at,41139_at,41165_g_at,41176_at,41177_at,41209_at,41402_at,41423_at,41424_at,41454_at,41504_s_at,41745_at,41771_g_at,41772_at,41792_at,41827_f_at,575_s_at,657_at,677_s_at,700_s_at,715_s_at,767_at,870_f_at,927_s_at,973_at,988_at,632_at,179_at
0,20.0,20.0,20.0,20.0,20.0,72.1,559.9,423.1,20.0,625.7,20.0,20.0,20.0,20.0,20.0,350.6,20.0,320.2,20.0,20.0,22.1,20.0,283.4,20.0,257.4,20.0,132.3,232.5,52.4,20.0,204.0,24.0,214.8,20.0,4143.2,37.3,20.0,68.7,31.9,258.2,20.0,70.1,1450.6,39.8,23.1,20.0,679.9,165.1,20.0,20.0,254.3
1,20.0,20.0,39.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.1,174.0,31.9,20.0,20.0,20.0,127.2,257.1,22.0,20.0,20.0,20.0,169.2,20.0,3929.4,31.4,20.0,60.6,147.0,20.0,20.0,45.8,679.0,70.2,20.0,20.0,309.6,20.0,20.0,20.0,20.0
2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.7,161.7,21.8,20.0,482.2,20.0,87.2,187.4,24.2,20.0,20.0,20.0,135.5,20.0,4103.6,56.5,20.0,58.2,50.4,23.1,20.0,20.0,31.0,76.8,20.0,20.0,20.0,195.4,20.0,20.0,20.0
3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,185.9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.8,20.0,39.8,20.0,20.0,1757.0,159.5,310.6,37.3,20.0,20.0,20.0,101.0,20.0,3346.8,49.6,20.0,48.6,606.3,20.0,20.0,47.9,213.0,52.8,24.4,20.0,85.5,76.2,20.0,20.0,20.0
4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,111.5,236.9,20.0,604.4,129.5,295.5,32.1,20.0,20.0,20.0,172.5,20.0,20.0,94.9,27.4,40.8,2232.7,20.0,210.8,36.5,95.6,34.0,20.0,20.0,198.3,185.8,20.0,334.8,20.0
5,20.0,20.0,20.0,20.0,349.8,20.0,20.0,1035.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,724.0,24.3,20.0,155.4,20.0,20.0,20.0,227.2,409.0,37.9,20.0,20.0,20.0,89.4,20.0,3427.4,174.0,47.4,95.1,247.7,20.0,20.0,28.6,180.3,89.7,24.5,20.0,49.1,94.1,20.0,20.0,20.0
6,20.0,20.0,20.0,20.0,20.0,59.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.8,20.0,25.4,20.0,41.3,20.0,446.9,20.0,107.0,150.3,55.9,20.0,282.1,59.5,20.0,416.0,20.0,69.3,22.5,57.4,181.5,20.0,20.0,20.0,392.7,47.1,38.7,20.0,257.1,20.0,20.0,20.0,20.0
7,276.5,20.0,43.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,537.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.1,389.7,55.8,20.0,20.0,185.4,105.7,213.8,51.4,28.8,20.0,20.0,104.7,20.0,20.0,392.4,134.5,112.9,626.8,24.4,511.4,58.7,235.0,93.6,20.0,1168.5,292.6,20.0,20.0,314.1,20.0
8,20.0,20.0,52.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,573.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,52.3,193.0,23.4,20.0,20.0,966.4,194.9,234.3,45.7,38.0,20.0,20.0,89.8,20.0,20.0,57.6,20.0,85.7,1590.7,20.0,20.0,20.0,134.9,110.8,20.0,20.0,133.8,65.3,20.0,20.0,20.0
9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,191.2,20.0,20.0,20.0,39.1,20.0,22.8,20.0,64.5,20.0,20.0,20.0,100.2,199.2,20.8,47.9,20.0,20.0,152.6,300.4,20.0,167.8,42.5,20.0,20.0,30.0,20.0,20.0,20.0,90.8,20.0,20.0,22.0,20.0,25.4,20.0,20.0
10,20.0,20.0,26.1,20.0,20.0,110.4,20.0,20.0,20.0,20.0,151.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1394.7,92.0,20.0,69.7,20.0,20.0,20.0,151.2,170.6,52.4,37.4,20.0,20.0,98.7,20.0,20.0,104.9,20.0,140.7,20.0,20.6,20.0,20.0,20.0,119.6,62.2,1349.2,20.0,73.4,20.0,20.0,20.0
11,20.0,20.0,20.0,20.0,20.0,126.5,20.0,20.0,20.0,20.0,136.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.8,20.0,42.5,20.0,26.0,20.0,20.0,347.7,112.6,163.4,29.6,24.1,20.0,20.0,124.5,213.9,20.0,90.2,20.9,20.0,1910.2,20.0,20.0,45.1,20.0,59.8,20.0,20.0,63.5,20.0,39.7,20.0,20.0
12,20.0,20.0,23.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,403.1,20.0,20.0,20.0,20.0,20.0,640.8,359.1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,197.2,202.6,227.1,20.0,93.5,20.0,48.6,93.1,392.4,20.0,152.4,68.8,20.0,132.3,20.0,20.0,20.3,338.9,52.8,20.0,20.0,230.1,114.8,55.4,20.0,20.0
13,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,34.3,20.0,57.3,20.0,20.0,131.8,20.0,729.2,151.5,184.6,20.0,32.7,20.0,20.0,76.2,420.6,20.0,105.0,20.0,20.0,3190.3,20.0,20.0,20.0,20.0,67.1,108.2,20.0,31.1,20.0,20.0,20.0,20.0
14,20.0,20.0,85.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,192.7,20.0,20.0,20.0,20.0,20.0,20.0,42.9,20.0,20.0,288.4,72.4,20.0,20.0,20.0,194.7,191.5,47.2,71.8,20.0,20.0,101.0,20.0,20.0,104.6,20.0,20.0,20.0,35.6,20.0,57.5,125.6,64.3,20.0,20.0,287.1,20.0,20.0,280.1,20.0
15,20.0,201.1,100.4,168.4,267.5,115.0,264.1,20.0,414.1,254.9,108.3,149.2,547.3,164.5,194.2,422.0,419.9,82.4,83.4,781.3,20.0,351.7,50.0,231.6,273.6,198.8,92.1,149.6,83.8,152.0,268.9,25.2,20.0,347.2,4613.3,269.4,83.2,130.6,2266.1,20.0,361.9,101.3,33.0,277.0,20.0,627.5,45.0,144.3,20.0,20.0,275.2
16,20.0,220.1,20.0,140.0,360.0,177.5,427.5,1208.7,565.6,20.0,58.5,133.8,562.0,223.7,295.1,20.0,392.6,196.0,20.0,1448.8,115.8,398.4,38.3,199.1,320.4,20.0,379.4,589.4,58.9,159.3,91.3,311.9,336.3,295.3,4833.3,323.3,200.0,88.2,20.0,675.7,323.9,205.2,1445.5,147.9,80.8,647.5,601.3,166.7,74.4,20.0,91.2
17,464.8,597.3,20.0,20.0,388.7,20.0,20.0,835.4,1000.0,20.0,73.6,197.1,468.1,20.0,231.6,20.0,610.5,304.6,80.0,979.1,242.6,501.0,202.9,20.0,20.0,2594.7,287.3,687.9,73.8,136.0,293.8,269.1,299.7,342.9,3940.8,557.0,294.8,127.1,20.0,518.7,445.2,132.8,1389.5,194.5,247.8,1045.9,921.7,139.8,34.9,20.0,20.0
18,482.7,20.0,20.0,20.0,136.9,20.0,20.0,1206.2,882.9,20.0,42.9,147.8,442.6,20.0,299.9,20.0,574.0,161.5,72.6,1126.3,234.8,489.0,235.3,20.0,20.0,1490.7,402.0,947.5,74.5,157.0,332.8,268.9,20.0,318.6,4090.2,697.3,20.0,68.9,5433.7,658.5,261.2,202.6,2341.5,183.2,194.4,980.8,1300.3,128.5,50.4,20.0,203.8
19,20.0,20.0,20.0,180.0,20.0,20.0,20.0,20.0,20.0,426.6,73.4,114.2,465.7,20.0,20.0,20.0,20.0,169.3,23.0,1096.9,88.8,307.9,174.4,185.8,20.0,3890.2,777.2,1400.7,126.5,51.4,147.5,73.8,199.1,285.7,4449.4,247.8,143.2,102.4,20.0,536.1,247.0,358.8,1999.4,225.3,72.4,1019.8,894.5,167.5,20.0,20.0,134.2
20,431.8,498.3,452.5,20.0,20.0,119.7,20.0,1111.4,899.1,20.0,132.3,20.0,562.0,20.0,307.9,20.0,596.0,20.0,20.0,1255.4,119.4,328.3,400.5,133.1,509.0,20.0,212.2,546.9,74.6,263.3,211.6,133.4,264.9,20.0,3099.4,258.6,127.7,119.0,4665.1,417.7,400.6,105.3,1404.2,115.3,114.7,1260.6,750.1,85.5,87.0,20.0,229.8
21,385.1,20.0,20.0,122.5,152.0,97.4,20.0,20.0,933.3,20.0,115.6,143.8,458.1,20.0,20.0,338.3,20.0,331.2,22.9,20.0,147.1,207.8,384.7,134.4,386.5,20.0,283.0,508.7,49.8,20.0,258.3,177.9,308.4,354.7,4820.4,232.6,81.8,141.6,4458.5,527.0,490.7,37.8,1676.2,129.6,72.3,20.0,1011.9,143.5,88.7,20.0,320.0
22,20.0,572.6,110.2,20.0,20.0,20.0,20.0,726.4,681.0,593.7,96.5,20.0,20.0,247.4,20.0,20.0,528.4,154.6,54.1,1183.7,20.0,521.8,75.7,20.0,20.0,4394.8,219.2,362.5,131.0,59.4,231.7,33.1,215.0,20.0,3650.5,179.2,51.2,131.5,5840.3,395.6,445.2,172.3,1389.9,255.5,292.3,799.3,704.7,80.1,71.7,20.0,272.5
23,395.3,20.0,109.4,20.0,201.5,177.6,20.0,1221.3,811.5,20.0,69.3,20.0,571.3,20.0,20.0,20.0,654.2,296.5,49.1,657.0,91.4,344.3,156.7,217.3,20.0,20.0,258.7,619.4,38.2,95.5,20.0,74.7,130.0,449.3,2577.4,125.1,58.7,125.4,20.0,345.0,338.6,189.2,753.2,20.0,206.2,1005.7,514.8,134.0,24.5,20.0,208.6
24,20.0,20.0,167.8,20.0,394.1,253.6,20.0,462.2,20.0,20.0,78.8,20.0,20.0,20.0,20.0,20.0,20.0,338.2,62.2,1010.7,57.3,321.4,20.0,20.0,20.0,2424.2,927.5,1733.9,206.7,196.6,295.3,88.0,165.0,386.9,4062.8,361.4,167.7,108.7,20.0,282.0,207.9,338.6,1763.2,211.9,220.3,20.0,1005.1,20.0,66.8,20.0,130.9
25,20.0,20.0,294.3,20.0,329.7,270.3,20.0,20.0,20.0,559.7,109.1,164.7,20.0,20.0,266.4,404.5,20.0,150.9,20.0,1194.8,20.0,453.8,40.8,20.0,20.0,540.7,445.3,1479.3,246.3,61.8,199.9,242.4,184.7,303.1,3758.6,175.2,44.3,20.0,1626.7,430.8,268.5,58.2,1149.7,276.2,131.3,20.0,1122.5,196.1,55.1,20.0,225.6
26,20.0,20.0,168.2,175.0,307.2,232.0,473.5,20.0,20.0,252.0,66.6,107.2,20.0,20.0,294.0,221.6,20.0,96.0,89.7,947.6,132.0,409.4,36.5,223.2,20.0,715.8,520.4,1067.0,224.2,20.0,243.3,209.1,223.6,215.8,2811.5,150.7,52.1,108.7,1594.8,635.1,285.1,246.8,1734.3,285.2,61.5,20.0,1029.5,158.8,69.1,20.0,221.9
27,416.1,50.0,92.0,105.8,223.4,105.9,364.1,1002.3,282.5,583.6,101.5,97.6,355.7,225.4,87.0,137.4,274.6,157.0,212.7,1295.4,221.9,481.7,244.8,181.7,150.3,118.8,20.0,20.0,57.1,51.8,170.1,20.0,295.5,359.2,20.0,303.0,131.1,142.4,1305.9,515.2,458.9,139.3,2133.7,20.0,101.9,912.3,1351.6,78.8,147.3,20.0,283.1
28,229.4,469.9,20.0,169.3,398.4,20.0,412.9,784.5,543.6,20.0,98.7,168.3,508.4,20.0,149.2,360.3,437.7,129.1,20.0,820.8,20.0,361.6,236.9,248.9,208.1,2136.8,20.0,20.0,306.5,75.4,239.6,69.4,247.3,382.0,3594.1,380.5,150.0,114.9,3659.0,494.7,327.0,149.1,1959.3,221.5,256.1,702.8,819.1,145.7,50.7,20.0,165.1
29,263.4,170.9,20.0,20.0,20.0,20.0,191.6,20.0,318.4,477.6,188.7,208.3,513.8,404.1,66.0,298.2,519.4,116.8,20.0,725.7,20.0,516.9,58.4,73.9,245.8,2293.5,20.0,20.0,20.0,20.0,296.1,98.0,144.0,85.0,3873.2,324.8,98.8,20.0,20.0,642.0,340.1,20.0,2472.5,268.9,236.8,666.0,1030.4,86.5,20.0,20.0,20.0
30,236.3,20.0,20.0,148.7,20.0,157.9,454.2,673.2,20.0,212.7,69.8,138.0,358.3,440.0,196.5,318.8,571.1,180.7,58.1,20.0,20.0,171.9,195.7,207.1,494.1,1439.7,902.9,20.0,70.9,270.4,266.0,124.2,192.0,337.8,2708.5,374.3,156.0,77.3,4231.1,701.5,260.8,112.5,1312.9,301.0,157.9,801.7,651.2,105.1,61.9,20.0,211.5
31,20.0,20.0,166.1,20.0,300.7,20.0,486.6,1073.0,20.0,257.7,62.5,20.0,20.0,20.0,20.0,427.6,20.0,20.0,20.0,812.5,55.8,20.0,178.7,200.8,376.4,436.1,264.7,591.4,61.3,20.0,130.4,55.5,189.6,441.4,3167.0,110.3,28.7,82.6,1084.4,466.3,292.5,215.6,158.9,84.1,53.7,20.0,147.9,42.9,40.8,20.0,184.6
32,20.0,20.0,171.5,216.5,284.1,20.0,538.3,20.0,20.0,307.0,48.5,184.7,20.0,20.0,20.0,20.0,20.0,98.1,28.7,890.8,51.3,510.1,183.4,181.1,223.9,1134.1,391.7,827.6,71.0,28.1,217.6,129.6,209.1,400.0,3790.2,168.6,51.5,74.3,1879.6,491.1,295.2,365.8,721.2,106.8,42.9,20.0,462.5,58.1,51.7,20.0,276.9
33,195.8,534.1,58.8,115.0,379.7,20.0,401.3,593.5,947.1,336.5,75.9,121.9,205.9,20.0,128.9,205.3,617.3,45.6,112.0,1331.4,20.0,435.0,49.3,65.6,20.0,152.1,277.3,490.9,109.4,55.0,306.8,20.0,134.1,290.9,2411.4,258.6,91.5,106.8,992.9,20.0,350.2,176.8,2342.2,20.0,263.6,1260.3,1079.9,148.5,20.0,20.0,174.0
34,128.5,20.7,292.7,88.2,20.0,82.2,87.7,1052.9,428.4,20.0,40.5,38.7,69.5,57.1,20.0,230.9,378.8,79.7,20.0,20.0,142.1,90.0,64.0,189.9,20.0,313.2,919.9,20.0,156.0,20.0,272.5,300.6,194.5,177.5,4312.9,20.0,20.0,96.3,1050.8,480.4,223.9,74.3,20.0,297.5,46.4,557.8,20.0,102.0,38.9,20.0,224.1
35,187.1,137.6,166.3,111.9,20.0,102.9,159.6,984.2,318.8,20.0,60.7,33.7,251.2,69.3,70.0,327.4,335.5,149.8,20.0,934.9,64.4,105.7,155.2,222.3,20.0,2578.5,20.0,20.0,208.4,20.0,20.0,227.8,200.4,219.1,3082.1,20.0,20.0,103.4,2581.7,20.0,252.1,99.5,20.0,307.0,87.1,477.3,20.0,127.9,36.3,20.0,292.1
36,468.2,367.0,454.2,213.1,130.4,20.0,558.8,20.0,669.0,20.0,35.6,172.9,327.1,344.6,303.6,370.8,364.3,92.5,186.3,822.8,164.9,252.6,95.4,234.4,20.0,20.0,870.0,20.0,191.2,20.0,177.5,289.1,225.5,316.8,3524.8,350.5,212.7,65.6,20.0,20.0,219.3,238.0,513.7,207.7,321.7,584.1,337.4,84.1,175.9,20.0,108.9
37,162.5,393.3,205.8,82.5,148.9,129.8,277.0,20.0,914.8,20.0,98.5,49.9,150.6,333.9,146.3,246.3,20.0,108.6,183.7,1168.6,231.6,454.2,179.3,144.5,20.0,493.3,20.0,20.0,123.8,133.8,20.0,93.6,187.5,177.5,4075.9,20.0,20.0,119.3,1973.8,20.0,286.2,157.2,1823.3,230.7,171.0,1194.3,1029.2,115.9,117.7,20.0,315.8
38,75.6,342.3,90.2,106.2,417.5,248.0,318.3,753.2,643.9,20.0,49.1,143.4,190.8,177.2,29.1,289.2,439.3,126.6,20.0,1419.1,39.1,271.5,77.4,231.5,20.0,4451.8,499.6,909.7,20.0,20.0,113.0,20.0,268.2,187.5,2535.6,20.0,20.0,90.2,1628.5,20.0,20.0,161.3,20.0,150.0,156.2,610.9,20.0,199.8,50.1,20.0,147.4
39,113.4,20.0,142.8,113.6,260.5,138.0,264.2,20.0,801.9,443.9,128.3,138.9,443.2,419.6,147.7,141.9,519.2,262.1,50.8,1087.6,247.9,284.9,186.3,109.5,20.0,827.1,462.3,882.2,121.6,125.2,281.6,20.0,232.8,142.0,2728.6,744.5,417.7,20.0,2030.2,721.5,289.1,40.2,1399.4,351.4,49.3,1274.6,807.5,91.1,46.1,20.0,319.1
40,179.7,20.0,231.5,202.0,244.4,241.6,451.6,20.0,20.0,20.0,99.0,112.8,312.7,20.0,159.5,302.4,20.0,82.7,20.0,1316.2,168.0,290.4,188.0,155.7,20.0,3943.5,532.3,893.2,147.4,238.8,226.0,20.0,166.6,193.8,4343.3,697.6,306.4,89.5,20.0,686.6,350.7,109.7,1457.7,289.3,20.0,20.0,945.5,114.6,58.2,331.9,21.8
41,169.3,20.0,573.3,96.3,70.8,164.3,263.9,1203.8,806.4,20.0,65.6,61.6,303.9,259.9,87.2,321.3,642.2,53.0,171.8,705.9,190.2,284.3,134.3,255.7,20.0,822.8,730.2,1118.8,193.4,184.1,231.3,47.6,183.2,217.0,20.0,584.5,225.5,86.7,2102.0,658.0,251.3,59.0,20.0,20.0,337.2,1009.1,1290.4,81.5,78.1,20.0,128.5
42,168.0,460.0,503.6,154.8,158.1,163.6,220.5,917.8,451.6,20.0,42.1,90.9,320.1,166.0,64.8,351.6,275.2,227.7,20.0,626.6,227.3,423.1,213.5,20.0,20.0,622.6,690.6,1459.9,223.8,267.4,225.3,36.0,211.1,171.1,3507.3,568.7,346.4,64.6,1769.9,642.9,218.0,78.2,20.0,20.0,279.6,668.8,20.0,108.2,69.5,20.0,306.4
43,350.8,569.6,65.0,20.0,20.0,20.0,365.9,608.4,767.9,222.5,146.4,209.7,20.0,328.9,192.0,356.1,365.3,231.9,172.2,20.0,20.0,20.0,189.7,160.8,20.0,508.8,384.6,931.4,146.0,52.7,20.0,229.5,196.3,429.2,2263.6,20.0,317.6,135.2,568.5,337.3,410.0,366.0,1093.6,20.0,20.0,970.3,1229.0,100.2,33.7,20.0,231.3
44,169.7,116.6,20.0,162.2,219.5,82.0,475.1,20.0,453.6,20.0,90.9,110.9,323.6,246.9,183.5,224.3,330.2,79.4,151.1,784.1,20.0,199.0,119.6,20.0,20.0,20.0,573.0,1220.9,20.0,20.0,20.0,101.5,167.7,299.5,3551.1,504.9,263.9,103.5,20.0,541.2,174.7,44.6,1173.8,108.3,97.1,789.6,677.3,42.8,73.3,20.0,214.2
45,109.2,20.0,46.3,45.2,270.9,61.4,158.5,92.0,20.0,46.7,102.3,20.0,187.0,20.0,95.0,169.5,20.0,155.3,20.0,340.3,45.2,34.7,34.7,20.0,20.0,403.1,203.1,500.6,20.0,20.0,20.0,20.0,159.9,157.5,398.7,180.1,58.1,117.9,1650.6,20.0,20.0,20.0,20.0,178.9,39.3,20.0,20.0,154.7,91.4,20.0,20.0
46,200.9,497.6,519.4,152.5,59.6,113.1,230.6,20.0,481.0,177.2,159.4,129.8,404.3,417.5,52.1,322.9,512.1,179.2,81.6,1398.1,113.3,306.9,533.8,103.4,20.0,1638.9,592.7,1157.4,54.8,85.3,20.0,277.8,173.2,246.6,2247.2,435.8,197.2,94.5,1908.3,706.9,381.1,59.1,1279.8,240.8,99.8,903.2,699.6,169.3,20.0,20.0,20.0
47,34.8,311.3,51.1,73.7,20.0,133.6,338.8,1014.6,456.7,706.0,75.8,62.0,143.6,235.4,86.4,233.5,437.7,20.0,20.0,605.6,229.9,135.1,415.1,39.5,281.2,2360.9,20.0,20.0,171.5,20.0,20.0,20.0,142.9,177.1,3776.9,801.3,400.6,121.7,2455.3,615.6,394.0,94.2,20.0,20.0,98.9,590.8,20.0,110.8,91.3,20.0,232.7
48,20.0,39.4,20.0,206.3,20.0,112.3,329.1,20.0,363.8,708.6,64.1,201.2,20.0,99.7,309.9,20.0,291.9,215.6,117.8,1556.5,147.6,20.0,204.3,20.0,20.0,504.6,752.5,1354.8,54.5,191.2,20.0,180.8,319.2,371.6,3566.7,680.5,318.8,94.5,1224.5,597.2,476.2,86.9,20.0,169.5,171.6,530.7,20.0,111.6,32.4,20.0,141.4
49,20.0,20.0,100.3,165.0,117.3,20.0,20.0,20.0,20.0,301.7,143.3,20.0,20.0,20.0,20.0,20.0,620.8,332.8,136.3,20.0,20.0,473.2,150.1,205.2,250.8,1669.5,234.9,408.6,165.4,20.0,269.2,44.9,226.7,238.0,4392.8,402.8,183.8,150.4,3810.4,20.0,309.8,282.4,530.6,187.4,20.0,20.0,235.3,20.0,20.0,20.0,210.3
50,422.4,181.4,39.5,197.1,353.6,159.8,552.6,977.5,565.0,280.0,96.8,130.2,20.0,261.0,279.6,397.5,417.2,238.0,196.5,20.0,201.9,20.0,113.3,20.0,20.0,3545.5,571.5,1197.4,181.9,161.2,312.5,266.1,213.3,354.4,3531.6,296.2,71.4,20.0,5152.6,556.8,382.5,76.1,20.0,168.6,300.7,783.8,20.0,146.6,100.2,20.0,207.5
51,248.5,237.9,30.5,105.6,378.9,90.5,255.1,1139.4,539.9,82.6,107.4,55.4,564.3,181.7,284.5,72.3,546.4,247.7,237.3,20.0,192.8,441.6,176.4,193.4,397.9,967.9,418.4,911.8,226.9,104.0,20.0,20.0,199.6,150.3,2421.1,467.6,101.7,20.0,1652.0,20.0,544.3,39.3,20.0,243.2,128.9,1228.3,20.0,20.0,68.0,20.0,20.0
52,272.6,271.6,340.4,138.2,114.4,235.7,491.6,837.0,573.4,20.0,96.6,176.3,499.7,265.9,20.0,20.0,510.7,96.5,106.8,1173.0,20.0,366.0,172.5,234.2,20.0,20.0,495.3,892.4,191.2,186.4,206.4,245.5,202.0,300.3,20.0,20.0,399.0,20.0,20.0,435.7,275.2,96.6,20.0,210.2,413.1,1030.5,1099.1,130.2,87.4,20.0,250.2
53,574.9,20.0,344.9,185.0,20.0,198.0,20.0,1070.2,20.0,259.9,104.2,183.6,20.0,20.0,286.5,411.5,20.0,151.1,20.0,961.7,20.0,499.0,88.8,218.8,275.3,2083.6,593.7,1194.0,239.8,35.1,215.4,243.7,153.9,340.5,20.0,229.3,70.0,20.0,5999.1,20.0,287.1,326.2,908.8,303.9,361.9,20.0,617.1,20.0,137.5,20.0,210.6
54,530.4,657.2,28.1,146.3,388.4,118.7,454.6,20.0,20.0,270.2,74.8,106.1,552.8,533.6,20.0,312.7,20.0,193.0,67.3,1415.5,91.8,20.0,20.0,20.0,475.3,1765.8,464.0,886.4,180.3,172.9,237.1,247.6,255.0,332.0,20.0,232.4,165.4,86.9,2134.6,683.5,233.5,363.8,1388.0,137.2,122.9,1132.9,498.8,195.5,57.9,20.0,188.5
55,99.1,601.3,57.9,40.8,20.0,154.0,402.7,522.4,646.6,114.7,96.2,93.4,148.9,221.4,112.4,269.1,464.1,69.4,20.0,695.4,211.9,207.2,265.1,80.4,437.6,1255.7,441.8,983.1,20.0,20.0,20.0,20.0,97.0,247.8,3413.2,833.3,368.8,129.5,3575.9,310.8,321.5,59.9,20.0,20.0,81.6,939.3,20.0,102.8,58.3,20.0,252.0
56,196.6,20.0,345.1,77.6,413.1,20.0,262.3,635.5,20.0,135.5,77.4,87.3,20.0,20.0,115.0,222.8,20.0,30.8,57.0,1143.6,20.0,167.3,80.2,124.2,295.7,497.8,136.6,286.5,115.2,20.0,20.0,108.2,286.3,260.8,2233.7,378.1,113.4,127.6,2793.8,733.3,353.6,95.1,1356.3,20.0,345.5,20.0,573.6,20.0,55.0,20.0,20.0
57,20.0,621.3,458.6,133.1,20.0,250.1,20.0,20.0,20.0,398.4,184.7,20.0,20.0,219.5,20.0,20.0,20.0,345.0,28.2,1214.2,252.6,520.3,56.0,20.0,366.0,20.0,58.3,89.7,90.5,51.0,226.3,36.9,287.1,332.4,4285.3,106.2,41.9,136.4,276.8,20.0,341.6,214.5,132.9,139.6,20.0,1260.9,214.3,196.2,20.0,20.0,20.0
58,161.4,204.9,20.0,90.4,297.8,172.8,313.1,1217.9,564.9,20.0,96.8,112.4,402.7,234.4,63.2,20.0,527.8,195.4,112.7,873.5,125.9,231.7,89.8,248.3,20.0,745.5,785.6,1573.9,349.2,108.2,20.0,204.7,173.2,213.4,4171.5,20.0,20.0,20.0,4321.4,626.6,334.4,20.0,20.0,225.8,297.4,852.6,1176.2,157.4,80.4,20.0,242.6
